Umbrella Get DNS Activity,Umbrella,https://api.umbrella.com,/v2/activity/dns?from=-30days&to=now&limit=50&offset=0,https://developer.cisco.com/docs/cloud-security/umbrella-api-api-reference-reports-reporting-api-activity-get-activity-dns/,GET,List all DNS entries within the timeframe.,{},"{""Authorization"": ""Bearer $umbrella_v2_api_token""}",{},{},,,,
XDR Asking for a token,XDR,https://visibility.amp.cisco.com,/iroh/oauth2/token,https://developer.cisco.com/docs/cisco-xdr/generate-access-and-refresh-tokens/,POST,Generate access and refresh tokens,,"{""Content-Type"":""application/x-www-form-urlencoded"", ""Accept"":""application/json""}","{""grant_type"":""client_credentials""}",,,XDR_Profile,,
XDR Get Response Actions,XDR,https://visibility.amp.cisco.com,/iroh/iroh-response/respond/observables,https://developer.cisco.com/docs/cisco-xdr/list-available-actions-for-an-observable/,POST,Return available Respons action from integrated module for given observable,"{""value"":""$observable_value"",""type"":""$observable_type""}","{""Authorization"":""Bearer $XDR_Token"", ""Content-Type"":""application/json"", ""Accept"":""application/json""}",,,,No_Profile,,
XDR Trigger Response Actions,XDR,https://visibility.amp.cisco.com,/iroh/iroh-response/respond/trigger/$module_instance_id/$action_id,https://developer.cisco.com/docs/cisco-xdr/trigger-an-action/,POST,Pass Observable value and trigger the response action,"{""value"":""$observable_value"",""type"":""$observable_type""}","{""Authorization"":""Bearer $XDR_Token"", ""Content-Type"":""application/json"", ""Accept"":""application/json""}",,,,No_Profile,,
ESA Health,ESA Appliance,https://$ESA_Host:80,/esa/api/v2.0/health?device_type=esa,https://www.cisco.com/c/en/us/td/docs/security/esa/esa16-0/api_guide/b_Secure_Email_API_Guide_16-0/b_ESA_API_Guide_chapter_011.html#id_66312,GET,retrieve information about system health,{},{"Authorization":"Basic $ESA_Lab_JWT"},{},,,ESA_Lab_profile,"ESA_Lab_JWT,ESA_Host",
ESA System Time,ESA Appliance,https://$ESA_Host:80,/esa/api/v2.0/config/system_time?device_type=esa,https://www.cisco.com/c/en/us/td/docs/security/esa/esa16-0/api_guide/b_Secure_Email_API_Guide_16-0/b_ESA_API_Guide_chapter_011.html#id_66312,GET,retrieve information about system time,{},{"Authorization":"Basic $ESA_Lab_JWT"},{},,,ESA_Lab_profile,"ESA_Lab_JWT,ESA_Host",
ESA System Status,ESA Appliance,https://$ESA_Host:80,/esa/api/v2.0/health/system_status,https://www.cisco.com/c/en/us/td/docs/security/esa/esa16-0/api_guide/b_Secure_Email_API_Guide_16-0/b_ESA_API_Guide_chapter_011.html#id_66312,GET,retrieve information about the overall system,{},{"Authorization":"Basic $ESA_Lab_JWT"},{},,,ESA_Lab_profile,"ESA_Lab_JWT,ESA_Host",
ESA Accessible APIs,ESA Appliance,https://$ESA_Host:80,/esa/api/v2.0/login/privileges,https://www.cisco.com/c/en/us/td/docs/security/esa/esa16-0/api_guide/b_Secure_Email_API_Guide_16-0/b_ESA_API_Guide_chapter_011.html#id_66312,GET,retrieve information about system time,{},{"Authorization":"Basic $ESA_Lab_JWT"},{},,,ESA_Lab_profile,"ESA_Lab_JWT,ESA_Host",
ESA Device Information,ESA Appliance,https://$ESA_Host:80,/esa/api/v2.0/config/appliances?device_type=esa,https://www.cisco.com/c/en/us/td/docs/security/esa/esa16-0/api_guide/b_Secure_Email_API_Guide_16-0/b_ESA_API_Guide_chapter_011.html#id_66312,GET,retrieve information about system time,{},{"Authorization":"Basic $ESA_Lab_JWT"},{},,,ESA_Lab_profile,"ESA_Lab_JWT,ESA_Host",
ESA List All Dictionaries,ESA Appliance,https://$ESA_Host:80,/esa/api/v2.0/config/dictionaries?device_type=esa,https://www.cisco.com/c/en/us/td/docs/security/esa/esa16-0/api_guide/b_Secure_Email_API_Guide_16-0/b_ESA_API_Guide_chapter_010.html#Cisco_Concept.dita_9b44fedf-47e6-456c-b57c-bf280181a81f,GET,retrieve list of all dictionaries configured in your email gateway with different attributes,{},{"Authorization":"Basic $ESA_Lab_JWT"},{},,,ESA_Lab_profile,"ESA_Lab_JWT,ESA_Host",
ESA List Selected Dictionary,ESA Appliance,https://$ESA_Host:80,/esa/api/v2.0/config/dictionaries/$dictionary_name?device_type=esa,https://www.cisco.com/c/en/us/td/docs/security/esa/esa16-0/api_guide/b_Secure_Email_API_Guide_16-0/b_ESA_API_Guide_chapter_010.html#Cisco_Concept.dita_9b44fedf-47e6-456c-b57c-bf280181a81f,GET,retrieve details of selected dictionnary,{},{"Authorization":"Basic $ESA_Lab_JWT"},{},,,ESA_Lab_profile,"ESA_Lab_JWT,ESA_Host,dictionary_name",
ESA Create New Dictionary,ESA Appliance,https://$ESA_Host:80,/esa/api/v2.0/config/dictionaries/$new_dictionary_name?device_type=esa,https://www.cisco.com/c/en/us/td/docs/security/esa/esa16-0/api_guide/b_Secure_Email_API_Guide_16-0/b_ESA_API_Guide_chapter_010.html#Cisco_Concept.dita_83a09252-eedc-4515-8472-beae931c7c21,POST,Create a new dictionnary in the ESA Appliance,"{""data"":{""ignorecase"":0,""wholewords"":1,""words"":[[""*credit"",2,""prefix""],[""*aba""],[""someterm1""]],""encoding"":""utf-8""}}","{""Content-Type"":""application/json"",""Authorization"":""Basic $ESA_Lab_JWT""}",,,,ESA_Lab_profile,"ESA_Lab_JWT,ESA_Host,new_dictionary_name",
ESA Add Words to selected Dictionary,ESA Appliance,https://$ESA_Host:80,/esa/api/v2.0/config/dictionaries/$dictionary_name/words?device_type=esa,https://www.cisco.com/c/en/us/td/docs/security/esa/esa16-0/api_guide/b_Secure_Email_API_Guide_16-0/b_ESA_API_Guide_chapter_010.html#Cisco_Concept.dita_a9d2944e-9791-4f13-9572-2c3d9224b15d,POST,Add New words to an existing dictionary,$dictionnary_words,"{""Content-Type"":""application/json"",""Authorization"":""Basic $ESA_Lab_JWT""}",{},,,ESA_Lab_profile,"ESA_Lab_JWT,ESA_Host,dictionnary_words",
ESA Delete Words from selected Dictionary,ESA Appliance,https://$ESA_Host:80,/esa/api/v2.0/config/dictionaries/$dictionary_name/words?device_type=esa,https://www.cisco.com/c/en/us/td/docs/security/esa/esa16-0/api_guide/b_Secure_Email_API_Guide_16-0/b_ESA_API_Guide_chapter_010.html#Cisco_Concept.dita_0981f870-7381-425e-a5a5-1739010185e3,DELETE,Delete words from an existing dictionary,$dictionary_words_to_delete,"{""Content-Type"":""application/json"",""Authorization"":""Basic $ESA_Lab_JWT""}",{},,,ESA_Lab_profile,"ESA_Lab_JWT,ESA_Host,dictionary_words_to_delete",
